Year,Avg_Return,Num_Tickers,Stock_Index,Obesity_Prevalence
2006,-0.04537230168469464,1,95.46276983153054,0.2370237278060143
2007,0.2692263010156928,2,121.16385823798598,0.2423067218384121
2008,-0.396138902247036,3,73.16614044357472,0.24733320131655934
2009,1.3862208619253442,3,174.59057071301766,0.25203790714767
2010,0.2259672219567256,3,214.04231695687753,0.2564253557059327
2011,0.023691507527631977,3,219.11330212029318,0.26055223536556005
2012,0.14231689423560315,4,250.29682676376072,0.26456034719117705
2013,0.3210524770219267,4,330.6552429869942,0.2686373683239006
2014,0.3225696717957234,4,437.3145961948441,0.2728128782683821
2015,0.5549502507685744,4,680.0024410179307,0.27709359857530946
2016,0.3563977295946284,4,922.3537671155264,0.2814340021519631
2017,-0.09575424697577056,4,834.0344767001138,0.2857263716536
2018,-0.30867881496087624,4,576.5857027958082,0.28987814108508464
2019,-0.0049088420280447576,4,573.7553346651544,0.29387603306995164
2020,0.15830224357075354,4,664.5820914033368,0.2978245505789133
2021,0.24121732290950051,4,824.8908043452467,0.30175664177940686
2022,-0.08477332264548393,4,754.9620700411944,0.3057023118371405
2023,0.1257553901457356,4,849.9026197044569,0.3097030850706664
2024,0.05923904709517375,4,900.2500410194408,0.3137593321430626
