Year,Avg_Return,Num_Tickers,Stock_Index,Obesity_Prevalence
1989,0.09452767959036978,1,109.45276795903698,0.1168019991832523
1990,-0.03863675583002624,1,105.22386808848314,0.12308185537950894
1991,-0.059101277621418036,1,99.00500304818623,0.12962739360039086
1992,0.08040166586193309,1,106.96517022192616,0.1364051516409407
1993,0.5236625371613839,1,162.97882264823932,0.14340026448026
1994,0.646172102249033,1,268.29119110092444,0.15061597153369272
1995,0.06978946785197859,1,287.0150905572315,0.157998741449217
1996,0.16024902458430001,1,333.00897886000234,0.16551487707685214
1997,0.5030918436739358,1,500.5430799946556,0.1731230281953464
1998,0.2004289485876316,1,600.8664032407992,0.18072993401225004
1999,-0.2071257769358209,1,476.4114826349164,0.18830642576376605
2000,0.2551957781427663,1,597.989681662083,0.19581372434573763
2001,0.27630095947843736,1,763.2148044635218,0.20316876507547682
2002,0.05816149475144927,1,807.6045183075553,0.21021564344299332
2003,-0.03710905627009031,1,777.635076793701,0.2169199686347229
2004,0.34234441038250507,2,1043.8540986513947,0.2232091341181257
2005,0.25745018165147104,2,1312.594525966829,0.2290478218285355
2006,0.16487648073555217,2,1529.0104920409904,0.23441972242178188
2007,-0.15489873990061326,2,1292.1686935290243,0.23931476250439276
2008,-0.45372628615422056,2,705.8777911293488,0.243728249576842
2009,0.4229033090377532,2,1004.3958447742103,0.2476102060229317
2010,0.240033539709675,2,1245.4845346650534,0.2509765772476717
2011,-0.12171438443498295,2,1093.8911512050051,0.2538374844812705
2012,0.14340040724694247,2,1250.7555877716297,0.256344226606444
2013,0.12379861434868628,2,1405.597396426634,0.2587045691032998
2014,0.3055733357933559,2,1835.1104816351767,0.261013438451561
2015,0.26546351139084506,3,2322.2653538801956,0.2633397556202425
2016,-0.11425246784794074,3,2056.940806201612,0.2656855326830093
2017,0.4451748682209957,3,2972.6391585408032,0.26795121932437393
2018,-0.0892805733540946,3,2707.2402300914473,0.27005576458793645
2019,0.5192606521116313,3,4113.003557391576,0.2720295165017803
2020,-0.39571407374731327,3,2485.430164358964,0.2739436307548808
2021,0.306195936988787,3,3246.4587823550514,0.2758334599063451
2022,-0.2679452765074972,3,2376.5854862467345,0.2777410657421658
2023,0.33427003507678293,3,3171.0068000974034,0.27969837996422386
2024,-0.06960298255065822,3,2950.2952691222054,0.281722522489389
