Year,Avg_Return,Num_Tickers,Stock_Index,Obesity_Prevalence
2010,0.6019424675775118,1,160.1942467577512,0.07641216696634205
2011,-0.11269823502994147,1,142.14063788620172,0.08074877383286044
2012,0.6576785574663639,1,235.62348756854766,0.08538717499475496
2013,0.5262198058597443,1,359.6132334528647,0.09040004987869066
2014,-0.06525788661853493,1,336.1456338376729,0.09578786513348035
2015,-0.1496182842073619,1,285.85210085908415,0.10161136886592295
2016,0.21408011423166268,2,347.04735126435764,0.10784580553782605
2017,0.008440300952963997,2,349.9765353539579,0.11443810365957305
2018,-0.17940550090614574,3,287.1888197233837,0.12138135325564894
2019,0.10281854374712385,3,316.71715594779727,0.12866165315283223
2020,0.030215169216020965,3,326.2868184083768,0.13629300980894027
2021,0.1448254894282386,3,373.54146657835275,0.14424755686862767
2022,-0.012531572409639017,3,368.86040464192337,0.1525157002415496
2023,-0.10505140916319704,3,330.11109934978225,0.16112492010452478
2024,0.03890317878465377,3,342.9534704665854,0.17006582938633913
