Year,Avg_Return,Num_Tickers,Stock_Index,Obesity_Prevalence
2001,-0.02899546166881961,1,97.10045383311804,0.027259678347127198
2002,-0.09496197910211224,7,87.87960256541187,0.0282326197080854
2003,0.04195337352836283,7,91.56644835736267,0.02922320561310475
2004,0.20970626613256382,8,110.76850634540543,0.03024687495062625
2005,0.5079269215861448,8,167.03081278212255,0.0313200705432594
2006,-0.12329248482105402,8,146.43716883253438,0.03243533759859415
2007,-0.01603467233310789,8,144.0890968129167,0.03358304158026295
2008,-0.1613695730939088,8,120.83750077272943,0.034764503909793354
2009,0.09996082169277627,8,132.91651664127295,0.03595569296814605
2010,0.010936612395546969,8,134.37017306474482,0.0371189687494192
2011,0.05005560095082166,8,141.09615282736655,0.03827240717310155
2012,0.12462832230241143,8,158.6807296375659,0.03944873469265255
2013,0.27661798801012377,8,202.57467380588778,0.0406887093514019
2014,0.2666819211544531,8,256.5976769936786,0.0419990414074525
2015,0.21576430058874474,9,311.96229530291623,0.04341373410472625
2016,0.039146502760214905,9,324.1745281570748,0.04492871869484735
2017,0.33282632195222717,10,432.0683440341927,0.04650881725330245
2018,0.07567883521611588,11,464.7667730444565,0.048163496462680006
2019,0.09708516469607996,11,509.8887317507432,0.049895690404971896
2020,-0.05538266995554377,11,481.649732406141,0.05172108331948434
2021,0.07514925515601877,11,517.8453510425583,0.05363189386454015
2022,0.05047100754112306,11,543.9815276601627,0.05563302745906285
2023,0.42939143977149835,11,777.5625390312591,0.05774263295152594
2024,0.06007392971811703,11,824.2737763524635,0.059968788493712503
