Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2010,40.19932832127124,23.470346450805664,61.02680206298828,,
2011,72.08505859995276,62.72415542602539,73.59114074707031,12.564338684082031,31.88573027868152
2012,113.06406418158083,73.39604187011719,125.68730926513672,52.096168518066406,40.97900558162807
2013,112.41284914939634,128.04310607910156,124.08749389648438,-1.5998153686523438,-0.6512150321844956
2014,117.17496331011662,125.61414337158203,134.32530212402344,10.237808227539062,4.762114160720287
2015,156.2491082912538,133.22300720214844,144.97337341308594,10.6480712890625,39.07414498113718
2016,107.42451080074156,145.0564422607422,83.55256652832031,-61.420806884765625,-48.82459749051225
2017,120.98427449503252,84.18402862548828,172.71986389160156,89.16729736328125,13.559763694290965
2018,242.23791466689693,174.24000549316406,246.03236389160156,73.3125,121.2536401718644
2019,264.3688333770375,245.80638122558594,325.9988098144531,79.96644592285156,22.130918710140577
2020,383.1022755900227,328.1394958496094,552.6534423828125,226.65463256835938,118.73344221298521
2021,665.3943828459709,552.9801635742188,712.2025146484375,159.549072265625,282.29210725594817
2022,571.5444638652186,724.7466430664062,507.8359375,-204.3665771484375,-93.84991898075225
2023,490.1634591238839,501.8736877441406,562.9031372070312,55.06719970703125,-81.38100474133472
2024,561.0303504757765,559.41650390625,716.8502197265625,153.94708251953125,70.86689135189255
2025,650.618719506934,737.9135131835938,558.5999755859375,-158.250244140625,89.58836903115753
2026,471.61296296296297,553.1500244140625,423.1499938964844,-135.44998168945312,-179.00575654397102
