Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2001,112.90527483275892,81.52486419677734,127.90507507324219,,
2002,188.8251839999495,127.90507507324219,229.87644958496094,101.97137451171875,75.91990916719058
2003,248.47664925878533,229.87644958496094,209.8286895751953,-20.047760009765625,59.65146525883583
2004,229.32620373209014,209.8286895751953,295.03173828125,85.20304870605469,-19.150445526695194
2005,560.1386691753681,295.03173828125,1508.634765625,1213.60302734375,330.81246544327803
2006,1189.9226790208083,1508.634765625,1064.520751953125,-444.114013671875,629.7840098454402
2007,980.3662894112723,1069.392822265625,927.1100463867188,-137.41070556640625,-209.55638960953604
2008,494.43502907266424,895.1409301757812,441.79071044921875,-485.3193359375,-485.93126033860807
2009,474.7112665372621,442.62908935546875,550.1886596679688,108.39794921875,-19.72376253540216
2010,656.6264588155864,551.9000854492188,704.0496215820312,153.8609619140625,181.9151922783243
2011,838.7387608119419,712.7523803710938,919.6818237304688,215.6322021484375,182.11230199635554
2012,890.1525098739132,910.838623046875,895.4929809570312,-24.1888427734375,51.413749061971316
2013,1035.9970802774235,901.7803344726562,1027.2874755859375,131.79449462890625,145.84457040351026
2014,938.296076289943,1027.2874755859375,907.1353759765625,-120.152099609375,-97.70100398748048
2015,1089.2025209020396,902.5494384765625,1400.8096923828125,493.67431640625,150.9064446120966
2016,1496.6663723692602,1367.6766357421875,1787.6375732421875,386.827880859375,407.4638514672206
2017,1850.6425182960722,1798.7752685546875,1814.2991943359375,26.66162109375,353.976145926812
2018,2272.2891424771014,1814.2991943359375,2510.295654296875,695.9964599609375,421.6466241810292
2019,2295.2157392699687,2511.239013671875,2347.869140625,-162.426513671875,22.926596792867258
2020,2219.631182710001,2324.095703125,2579.4345703125,231.5654296875,-75.5845565599675
2021,2672.9777164381376,2505.572021484375,2612.98828125,33.5537109375,453.34653372813636
2022,3109.5264922595416,2629.415771484375,3222.371826171875,609.383544921875,436.548775821404
2023,5685.4636845782525,3159.09228515625,7241.22412109375,4018.852294921875,2575.937192318711
2024,6973.041806839923,7223.583984375,8858.458984375,1617.23486328125,1287.5781222616706
2025,8671.112594039352,8715.1669921875,8937.6044921875,79.1455078125,1698.070787199429
2026,8691.253313603293,8873.87109375,9200.0,262.3955078125,20.140719563940365
