Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2000,222.5473286736872,261.6794738769531,183.56617736816406,,
2001,195.72729813732863,183.56617736816406,178.24359130859375,-5.3225860595703125,-26.82003053635856
2002,166.95945359737937,178.24359130859375,116.43270874023438,-61.810882568359375,-28.767844539949266
2003,136.30044041191482,116.43270874023438,148.72251892089844,32.28981018066406,-30.659013185464545
2004,237.2044019626297,148.72251892089844,279.061279296875,130.33876037597656,100.90396155071488
2005,320.67242772029,279.061279296875,390.4568786621094,111.39559936523438,83.46802575766029
2006,401.351889859713,390.4568786621094,347.7591247558594,-42.69775390625,80.67946213942304
2007,337.63199300960616,345.5991516113281,322.0506286621094,-25.70849609375,-63.71989685010686
2008,313.69422788036115,320.2835388183594,336.3735046386719,14.3228759765625,-23.937765129245008
2009,465.5844649954588,327.6219787597656,560.5482177734375,224.17471313476562,151.89023711509765
2010,498.36499337404354,565.9837036132812,428.68115234375,-131.8670654296875,32.780528378584734
2011,453.43304019850126,437.0231628417969,439.3720703125,10.69091796875,-44.931953175542276
2012,469.1473704922584,442.72796630859375,505.1794738769531,65.80740356445312,15.714330293757143
2013,746.9938120316486,515.0606079101562,818.9903564453125,313.8108825683594,277.84644153939024
2014,1020.6456143738793,818.9903564453125,1145.358642578125,326.3682861328125,273.65180234223067
2015,1112.080894845431,1133.57763671875,1120.8231201171875,-24.5355224609375,91.43528047155166
2016,1068.395485142299,1104.6959228515625,1220.556396484375,99.7332763671875,-43.68540970313188
2017,1248.0462443838007,1231.6396484375,1535.065673828125,314.50927734375,179.65075924150165
2018,1826.0722478523107,1535.065673828125,2104.969482421875,569.90380859375,578.02600346851
2019,2026.1149811170903,2099.162841796875,1916.0509033203125,-188.9185791015625,200.0427332647796
2020,1784.1449151157349,1919.00341796875,1741.16015625,-174.8907470703125,-241.97006600135546
2021,1777.2676458864796,1732.1385498046875,1868.0965576171875,126.9364013671875,-6.877269229255262
2022,1945.0761618692368,1883.3834228515625,1867.3575439453125,-0.739013671875,167.80851598275717
2023,2120.5753387203063,1854.8668212890625,2576.5927734375,709.2352294921875,175.49917685106948
2024,2696.9864417251274,2576.5927734375,2975.908447265625,399.315673828125,576.4111030048211
2025,3342.3235646942517,2932.00146484375,3186.422119140625,210.513671875,645.3371229691243
2026,2988.9723282442746,3186.422119140625,2949.0,-237.422119140625,-353.351236449977
