Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2021,137.79368462813528,123.5,165.0500030517578,,
2022,174.8941530412243,169.35000610351562,180.75,15.699996948242188,37.10046841308903
2023,180.174490169603,180.1999969482422,193.75,13.0,5.280337128378676
2024,170.3780492767086,191.75,182.4499969482422,-11.300003051757812,-9.796440892894395
2025,165.33004022314844,183.1300048828125,147.9499969482422,-34.5,-5.0480090535601505
2026,117.53540756790726,147.42999267578125,110.44000244140625,-37.50999450683594,-47.79463265524119
