Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2021,232.2467754733178,242.30999755859375,243.8300018310547,,
2022,256.16895140371014,241.0500030517578,267.4599914550781,23.629989624023438,23.922175930392342
2023,267.0764084796516,260.19000244140625,284.2200012207031,16.760009765625,10.907457075941466
2024,309.88853628267117,281.8500061035156,329.5,45.279998779296875,42.812127803019564
2025,304.660842711667,345.6499938964844,257.04998779296875,-72.45001220703125,-5.227693571004181
2026,188.56703717267072,262.70001220703125,181.35000610351562,-75.69998168945312,-116.09380553899626
