Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2014,222.95895048047674,193.33346557617188,264.3494567871094,,
2015,264.6578782273847,262.5571594238281,291.2528076171875,26.903350830078125,41.69892774690794
2016,280.74389539876944,277.3622741699219,347.04840087890625,55.79559326171875,16.086017171384754
2017,447.4368280077737,352.0676574707031,612.2574462890625,265.20904541015625,166.6929326090043
2018,574.3452951785604,611.361083984375,561.9036865234375,-50.353759765625,126.90846717078665
2019,565.8599190090014,569.9757080078125,537.6304321289062,-24.27325439453125,-8.485376169559004
2020,272.91135199238937,547.5560913085938,274.4735412597656,-263.1568908691406,-292.948567016612
2021,273.5257417580827,263.0578308105469,239.94679260253906,-34.52674865722656,0.6143897656933177
2022,236.39804809570313,257.3356628417969,228.85386657714844,-11.092926025390625,-37.127693662379556
2023,239.43276837717488,236.04925537109375,234.65016174316406,5.796295166015625,3.034720281471749
2024,185.54047868383213,228.6540069580078,180.61761474609375,-54.03254699707031,-53.89228969334275
2025,164.81335304471344,181.31729125976562,205.9495391845703,25.331924438476562,-20.727125639118697
2026,182.15689580580766,205.3496856689453,183.89999389648438,-22.049545288085938,17.343542761094227
