Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2019,327.25846116807725,280.7153015136719,341.5759582519531,,
2020,364.96751604422155,343.1186218261719,454.2402648925781,112.664306640625,37.70905487614431
2021,507.12932709724674,446.029296875,559.6889038085938,105.44863891601562,142.1618110530252
2022,575.6878368008521,550.482666015625,785.863525390625,226.17462158203125,68.55850970360535
2023,814.1695623903859,770.2378540039062,815.99853515625,30.135009765625,238.48172558953377
2024,816.6561909497269,818.3461303710938,791.6239624023438,-24.37457275390625,2.4866285593410566
2025,689.2463119077873,786.279541015625,560.5499877929688,-231.073974609375,-127.40987904193958
2026,480.93992614746094,538.5499877929688,473.04998779296875,-87.5,-208.3063857603264
