Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2006,20.95852640095879,22.9571475982666,29.959075927734375,,
2007,37.59526783487071,29.959075927734375,42.49994659423828,12.540870666503906,16.636741433911922
2008,32.3640110436387,41.78364944458008,29.17452621459961,-13.325420379638672,-5.231256791232013
2009,49.608460366256594,29.17452621459961,70.56123352050781,41.3867073059082,17.244449322617896
2010,71.69694877895913,71.62631225585938,80.68330383300781,10.1220703125,22.08848841270253
2011,72.61586573816115,79.8486557006836,73.17701721191406,-7.50628662109375,0.9189169592020221
2012,84.47431960878636,71.70166015625,99.448974609375,26.271957397460938,11.858453870625212
2013,129.19685963868153,102.58617401123047,151.43612670898438,51.987152099609375,44.72254002989517
2014,159.4105933871665,151.43612670898438,198.8046112060547,47.36848449707031,30.21373374848497
2015,196.71914122338387,199.1497802734375,166.76585388183594,-32.03875732421875,37.30854783621737
2016,213.28143195955178,171.08807373046875,264.6161804199219,97.85032653808594,16.56229073616791
2017,193.81126633901445,269.5164794921875,98.80000305175781,-165.81617736816406,-19.47016562053733
2018,34.141501973269015,98.4000015258789,12.0,-86.80000305175781,-159.66976436574544
2019,7.580948635523498,11.800000190734863,4.199999809265137,-7.800000190734863,-26.560553337745517
2020,2.9992941099054673,4.0,3.240000009536743,-0.9599997997283936,-4.581654525618031
2021,3.036614180549862,3.200000047683716,2.880000114440918,-0.3599998950958252,0.037320070644394576
2022,2.39577688733895,2.880000114440918,3.200000047683716,0.31999993324279785,-0.6408372932109119
2023,2.5796825294456784,3.4800000190734863,2.799999952316284,-0.40000009536743164,0.18390564210672844
2024,2.863464583562115,3.0,2.549999952316284,-0.25,0.28378205411643664
2025,1.7772134391686663,2.5799999237060547,1.4800000190734863,-1.0699999332427979,-1.0862511443934488
2026,0.9847610299201572,1.4850000143051147,0.8100000023841858,-0.6700000166893005,-0.792452409248509
