Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2015,18.840909802321846,21.71455192565918,16.19185447692871,,
2016,20.303554845234704,16.106672286987305,23.424781799316406,7.232927322387695,1.4626450429128575
2017,25.127794516514022,23.416860580444336,30.98085594177246,7.556074142456055,4.824239671279319
2018,47.47509253452498,31.20340347290039,57.649871826171875,26.669015884399414,22.34729801801096
2019,73.91276503366137,55.33272171020508,77.81942749023438,20.1695556640625,26.43767249913639
2020,109.23485613434683,76.4747543334961,124.82366943359375,47.004241943359375,35.322091100685455
2021,146.92669868469238,122.7707290649414,163.4106903076172,38.58702087402344,37.691842550345555
2022,120.7630111876712,162.95675659179688,135.54441833496094,-27.86627197265625,-26.163687497021186
2023,184.7676336669922,131.42745971679688,253.81956481933594,118.275146484375,64.004622479321
2024,352.99653231908405,249.67462158203125,281.89483642578125,28.075271606445312,168.22889865209186
2025,277.0740803222656,289.6910400390625,237.58660888671875,-44.3082275390625,-75.92245199681844
2026,194.92272431103152,255.86709594726562,141.10499572753906,-96.48161315917969,-82.1513560112341
