Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2003,1919.1151342147436,1893.1051025390625,1949.1014404296875,,
2004,2081.1377675296694,1949.1014404296875,1326.8701171875,-622.2313232421875,162.02263331492577
2005,1043.0369802621694,1326.8701171875,895.4027709960938,-431.46734619140625,-1038.1007872675
2006,838.0061560997597,895.4027709960938,720.3806762695312,-175.0220947265625,-205.03082416240977
2007,830.6434976383132,726.5679931640625,1002.5501708984375,282.16949462890625,-7.362658461446472
2008,941.0388208506058,1002.5501708984375,967.88671875,-34.6634521484375,110.39532321229262
2009,888.9156755361047,970.1326293945312,927.5177001953125,-40.3690185546875,-52.12314531450113
2010,855.6062358338156,932.5685424804688,917.4248657226562,-10.09283447265625,-33.30943970228907
2011,814.0899100167411,925.3983764648438,871.2535400390625,-46.17132568359375,-41.51632581707452
2012,846.9830627441406,880.8330078125,905.7000122070312,34.44647216796875,32.893152727399524
2013,908.502786192602,913.9556884765625,967.375,61.67498779296875,61.51972344846138
2014,1003.170325857694,974.173828125,1107.2364501953125,139.8614501953125,94.66753966509202
2015,1162.3116940357645,1105.2939453125,1171.3397216796875,64.103271484375,159.14136817807048
2016,1209.6709896165498,1163.5694580078125,1289.6187744140625,118.279052734375,47.35929558078533
2017,1262.7086712381115,1302.4459228515625,1261.9910888671875,-27.627685546875,53.03768162156166
2018,1345.3745973082794,1261.9910888671875,1366.885009765625,104.8939208984375,82.66592607016787
2019,1415.3109267618647,1380.751953125,1502.6561279296875,135.7711181640625,69.93632945358536
2020,1421.598231291968,1495.699462890625,1436.0701904296875,-66.5859375,6.287304530103256
2021,1432.4559704838966,1416.19384765625,1332.712890625,-103.3572998046875,10.857739191928658
2022,1379.2106753490011,1325.7562255859375,1367.4967041015625,34.7838134765625,-53.245295134895514
2023,1515.6283628882431,1372.4656982421875,1693.4697265625,325.9730224609375,136.41768753924202
2024,1667.7887700294962,1686.512939453125,1590.949462890625,-102.520263671875,152.16040714125302
2025,1513.6017287768454,1575.996826171875,1545.0,-45.949462890625,-154.18704125265072
2026,1524.0916030534352,1538.0,1546.0,1.0,10.489874276589717
