Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2021,33.853333218892416,49.5,32.0,,
2022,20.38968131076767,31.479999542236328,8.569999694824219,-23.43000030517578,-13.463651908124746
2023,10.638559999465942,8.649999618530273,11.300000190734863,2.7300004959106445,-9.751121311301729
2024,27.55305558916122,11.069999694824219,32.060001373291016,20.760001182556152,16.914495589695278
2025,15.25463999938965,32.09000015258789,6.760000228881836,-25.30000114440918,-12.298415589771572
2026,6.944626847309853,6.929999828338623,6.510000228881836,-0.25,-8.310013152079797
