Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2014,21.370711276405736,16.92814064025879,26.744110107421875,,
2015,34.49088683204045,25.646915435791016,40.89008331298828,14.145973205566406,13.120175555634717
2016,41.38394080268012,40.86069107055664,55.153602600097656,14.263519287109375,6.89305397063967
2017,57.04368070017294,54.70296859741211,54.04661178588867,-1.1069908142089844,15.65973989749282
2018,49.216173878703934,53.419639587402344,43.90727233886719,-10.139339447021484,-7.827506821469008
2019,44.55058405134413,42.813533782958984,40.01323699951172,-3.8940353393554688,-4.665589827359803
2020,21.06135807301216,40.52124786376953,30.020000457763672,-9.993236541748047,-23.489225978331973
2021,38.880416484106156,27.010000228881836,38.400001525878906,8.380001068115234,17.819058411093998
2022,38.386095692911944,39.20000076293945,35.439998626708984,-2.960002899169922,-0.49432079119421246
2023,39.434319953918454,35.470001220703125,53.849998474121094,18.40999984741211,1.04822426100651
2024,44.355158699883354,54.220001220703125,29.190000534057617,-24.659997940063477,4.9208387459649
2025,22.28754002380371,30.290000915527344,16.209999084472656,-12.980001449584961,-22.067618676079643
2026,13.647052245353585,17.040000915527344,10.84000015258789,-5.369998931884766,-8.640487778450126
