Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2015,0.300465133544561,0.266092985868454,0.34044256806373596,,
2016,0.43103467519321137,0.34044256806373596,0.5087071657180786,0.16826459765434265,0.13056954164865037
2017,0.5081839820146561,0.504794180393219,0.4598100185394287,-0.0488971471786499,0.07714930682144472
2018,0.42088449405009054,0.46787694096565247,0.31548452377319336,-0.14432549476623535,-0.08729948796456555
2019,0.32999003628497064,0.31548452377319336,0.3250969350337982,0.009612411260604858,-0.0908944577651199
2020,0.2717636414463558,0.333652138710022,0.33119797706604004,0.006101042032241821,-0.05822639483861486
2021,0.29046139097496454,0.33119797706604004,0.27454566955566406,-0.05665230751037598,0.018697749528608754
2022,0.24515623259544372,0.2789035737514496,0.26147210597991943,-0.013073563575744629,-0.045305158379520816
2023,0.2523713274054738,0.2701878249645233,0.2440406233072281,-0.017431482672691345,0.007215094810030076
2024,0.24088967786658377,0.2440406233072281,0.25343361496925354,0.009392991662025452,-0.011481649538890026
2025,0.25633696868779166,0.25343361496925354,0.2727586030960083,0.01932498812675476,0.015447290821207882
2026,0.2767496662798212,0.2727586030960083,0.2750000059604645,0.0022414028644561768,0.02041269759202957
