Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2003,248.10835212168067,244.37159729003906,243.45106506347656,,
2004,287.33027148064764,244.43243408203125,367.9986877441406,124.54762268066406,39.22191935896697
2005,378.1997884897085,369.4825744628906,452.5520324707031,84.5533447265625,90.86951700906087
2006,545.70472220769,453.9053039550781,640.1841430664062,187.63211059570312,167.5049337179815
2007,648.397563949404,639.7335205078125,382.1300354003906,-258.0541076660156,102.692841741714
2008,252.65365077942374,375.3707275390625,144.2200927734375,-237.90994262695312,-395.74391316998026
2009,221.73075112806478,152.33245849609375,223.63125610351562,79.41116333007812,-30.92289965135896
2010,277.192977844962,226.51571655273438,315.4815368652344,91.85028076171875,55.46222671689722
2011,256.2056628030444,322.60235595703125,210.74160766601562,-104.73992919921875,-20.98731504191761
2012,248.00687010259742,214.61753845214844,292.766845703125,82.02523803710938,-8.198792700446973
2013,340.21340110085225,296.6427307128906,380.2904357910156,87.52359008789062,92.20653099825483
2014,370.4148347274117,383.1747741699219,346.12823486328125,-34.162200927734375,30.201433626559435
2015,359.5795426802202,340.6299133300781,311.11114501953125,-35.01708984375,-10.835292047191501
2016,240.90615573325175,297.498291015625,226.257568359375,-84.85357666015625,-118.67338694696844
2017,225.3318843538799,226.7986297607422,255.36849975585938,29.110931396484375,-15.57427137937185
2018,233.61162081631747,253.29379272460938,232.18589782714844,-23.182601928710938,8.279736462437569
2019,296.08948519861275,227.3148956298828,414.4888916015625,182.30299377441406,62.47786438229528
2020,199.5408490999477,411.7828063964844,216.94140625,-197.5474853515625,-96.54863609866504
2021,276.5259697352474,203.86180114746094,256.0,39.05859375,76.98512063529967
2022,188.69160021972655,263.6000061035156,138.0,-118.0,-87.83436951552082
2023,200.28804836805122,143.10000610351562,257.79998779296875,119.79998779296875,11.596448148324669
2024,266.95039385697976,254.0,245.0,-12.79998779296875,66.66234548892854
2025,253.43873517786562,245.0,261.5,16.5,-13.511658679114134
2026,262.5735294117647,264.5,265.5,4.0,9.134794233899072
