Year,Average_Price,Start_Price,End_Price,YoY_End_Price_Diff,YoY_Avg_Price_Diff
2015,53.575708233747356,45.900001525878906,39.599998474121094,,
2016,36.11976194381714,38.54999923706055,35.790000915527344,-3.80999755859375,-17.455946289930218
2017,35.45701193334572,36.130001068115234,43.20000076293945,7.409999847412109,-0.6627500104714201
2018,52.42015946528826,43.68000030517578,45.41999816894531,2.2199974060058594,16.96314753194254
2019,68.51916681017194,44.54999923706055,59.56999969482422,14.150001525878906,16.09900734488368
2020,61.395375248000555,61.130001068115234,84.77999877929688,25.209999084472656,-7.123791562171384
2021,95.35273772951156,82.43000030517578,72.16000366210938,-12.6199951171875,33.957362481511005
2022,54.06972113073584,74.56999969482422,41.529998779296875,-30.6300048828125,-41.28301659877572
2023,62.98336009216309,41.68000030517578,74.12000274658203,32.590003967285156,8.913638961427246
2024,101.16067456442212,73.30999755859375,129.8000030517578,55.68000030517578,38.177314472259035
2025,105.04159976196289,133.27000427246094,81.16999816894531,-48.6300048828125,3.880925197540762
2026,81.45813449461069,83.47000122070312,60.150001525878906,-21.019996643066406,-23.583465267352196
