Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2001-01-04,1104.6483957577507,1138.1952017026715,1090.2711932099273,1135.199951171875,106000,0.0,0.0,
2001-01-05,1126.213825566853,1152.572021484375,1117.8271268658232,1152.572021484375,131000,0.0,0.0,0.015303092899684012
2001-01-08,1152.572021484375,1152.572021484375,1152.572021484375,1152.572021484375,0,0.0,0.0,0.0
2001-01-09,1129.2091589486727,1137.5958582724293,1097.4595115087366,1114.23291015625,39000,0.0,0.0,-0.03326396148220634
2001-01-10,1115.4307648629854,1115.4307648629854,1078.28967602222,1107.0440673828125,17000,0.0,0.0,-0.006451831307360489
2001-01-11,1096.261342227946,1099.256591796875,1077.0917449868016,1099.256591796875,66000,0.0,0.0,-0.007034476598883788
2001-01-12,1108.2422591145832,1135.1995032552084,1105.8460596354166,1123.218505859375,66000,0.0,0.0,0.021798290081964655
2001-01-15,1132.204425592073,1144.1854248046875,1126.2139259857659,1144.1854248046875,80000,0.0,0.0,0.018666821135813416
2001-01-16,1144.1853333319677,1150.1758324593602,1136.9967343790968,1142.38818359375,89000,0.0,0.0,-0.0015707604484161974
2001-01-17,1102.2517592207432,1102.2517592207432,1075.2945151093663,1080.0869140625,121000,0.0,0.0,-0.054535989102461935
2001-01-18,1101.0536397021299,1103.4498391356492,1090.2707422512929,1100.45458984375,99000,0.0,0.0,0.01885744148555757
2001-01-19,1105.2468091229487,1105.2468091229487,1066.3085746552026,1072.299072265625,70000,0.0,0.0,-0.0255853515792257
2001-01-22,1068.106080905899,1068.106080905899,1016.5877842385365,1053.7288818359375,113000,0.0,0.0,-0.017318107335904998
2001-01-23,1053.728896985795,1096.261444845938,1048.9364972269057,1090.8699951171875,50000,0.0,0.0,0.035247314486187564
2001-01-24,1114.8317257122853,1117.2279250152671,1108.2421776290853,1111.2374267578125,104000,0.0,0.0,0.018670814791671875
2001-01-25,1106.4453433485714,1106.4453433485714,1084.2804934818162,1104.648193359375,40000,0.0,0.0,-0.005929635953373591
2001-01-26,1096.2613733312587,1096.2613733312587,1074.6955758231027,1090.2708740234375,16000,0.0,0.0,-0.013015292490737962
2001-01-29,1108.2422591145832,1123.218505859375,1106.4451095052082,1123.218505859375,76000,0.0,0.0,0.03021967533109504
2001-01-30,1132.8033656303642,1144.1853137778928,1105.2470701152945,1112.4356689453125,96000,0.0,0.0,-0.009599945921308084
2001-01-31,1116.629098752997,1129.8081975580214,1102.2519000566062,1124.416748046875,97000,0.0,0.0,0.010770132094848783
2001-02-01,1114.8315968118657,1129.208790967419,1114.8315968118657,1128.6097412109375,29000,0.0,0.0,0.0037290383404069427
2001-02-02,1127.4119367410892,1127.4119367410892,1120.22333778206,1120.8223876953125,13000,0.0,0.0,-0.006899952420461597
2001-02-05,1126.8127145887931,1144.1851594176474,1121.4212661936315,1135.7984619140625,110000,0.0,0.0,0.013361683691512027
2001-02-06,1114.8314900496198,1116.029589447846,1093.2657008815456,1108.241943359375,67000,0.0,0.0,-0.024261803021152994
2001-02-07,1122.020751953125,1128.0112524974556,1119.6245517353927,1122.020751953125,20000,0.0,0.0,0.012433032945841083
2001-02-08,1138.7939866474553,1139.9920865808035,1129.2091871806697,1134.0015869140625,81000,0.0,0.0,0.010677908532513491
2001-02-09,1132.204375786804,1144.1853744723785,1126.8129263782953,1137.5958251953125,28000,0.0,0.0,0.003169517858463422
2001-02-12,1137.5958251953125,1137.5958251953125,1137.5958251953125,1137.5958251953125,0,0.0,0.0,0.0
2001-02-13,1135.7988265895242,1148.9779268980526,1133.4026265334282,1142.9874267578125,38000,0.0,0.0,0.004739470243374289
2001-02-14,1119.0250973999343,1154.9680876804462,1119.0250973999343,1141.18994140625,55000,0.0,0.0,-0.0015726204063865046
2001-02-15,1153.1711627859247,1171.142661426744,1153.1711627859247,1154.3692626953125,79000,0.0,0.0,0.011548753464144745
2001-02-16,1163.9538185447982,1196.9015591623813,1162.755718885977,1183.1234130859375,156000,0.0,0.0,0.024908970915846762
2001-02-19,1161.5576095426927,1186.11865234375,1161.5576095426927,1186.11865234375,60000,0.0,0.0,0.002531637211032889
2001-02-20,1183.1237321047438,1183.722782095683,1157.3645824943621,1162.156982421875,107000,0.0,0.0,-0.020201747839077577
2001-02-21,1153.1711742141486,1153.1711742141486,1137.5958752377496,1144.1854248046875,116000,0.0,0.0,-0.015463967337472573
2001-02-22,1136.3977665328778,1141.789216136882,1129.8082170168727,1132.803466796875,33000,0.0,0.0,-0.009947651631513676
2001-02-23,1128.0111579613047,1139.9921580458645,1126.8130579528486,1134.6007080078125,133000,0.0,0.0,0.0015865428237251678
2001-02-26,1135.798534403117,1167.5481769787316,1121.4213377651029,1165.1519775390625,85000,0.0,0.0,0.026926890945532245
2001-02-27,1150.176134163655,1160.3599853515625,1150.176134163655,1160.3599853515625,34000,0.0,0.0,-0.004112761493673345
2001-02-28,1144.1854248046875,1151.3740243322563,1138.1949251983804,1144.1854248046875,32000,0.0,0.0,-0.01393926087685149
2001-03-01,1142.9875151084884,1144.1856152291473,1108.2426116093834,1119.0255126953125,68000,0.0,0.0,-0.021989366027512336
2001-03-02,1087.2755228116366,1089.671722310946,1080.0869243137086,1084.2802734375,46000,0.0,0.0,-0.031049550580955265
2001-03-05,1082.483144124349,1105.2470397949219,1079.4878946940105,1085.4783935546875,46000,0.0,0.0,0.0011049911600706785
2001-03-06,1097.4596040859503,1101.6529541015625,1087.874804050265,1101.6529541015625,64000,0.0,0.0,0.01490085905248395
2001-03-07,1142.9873827118236,1166.3503323584487,1135.199732829615,1162.156982421875,40000,0.0,0.0,0.05492113291672296
2001-03-08,1179.5291741770766,1179.5291741770766,1150.175731041131,1165.1519775390625,58000,0.0,0.0,0.0025771003078656207
2001-03-09,1177.1329859037035,1191.5101826781,1162.156739263707,1190.9111328125,1287000,0.0,0.0,0.022107978847397902
2001-03-12,1166.350077258897,1172.939625717987,1162.7557780993934,1165.1519775390625,36000,0.0,0.0,-0.02162978795286241
2001-03-13,1134.0016328477368,1164.5531823856315,1126.8130329564674,1162.156982421875,44000,0.0,0.0,-0.0025704759335458682
2001-03-14,1162.156982421875,1162.156982421875,1162.156982421875,1162.156982421875,0,0.0,0.0,0.0
2001-03-15,1138.1948224959835,1192.1093140878986,1132.803373336792,1188.5150146484375,53000,0.0,0.0,0.022680268350351085
2001-03-16,1198.099781682602,1308.3249615974014,1198.099781682602,1276.5753173828125,200000,0.0,0.0,0.07409271372177262
2001-03-19,1246.6229216688319,1293.9478667970575,1240.0333723471801,1282.56591796875,66000,0.0,0.0,0.004692712215538686
2001-03-20,1282.56591796875,1282.56591796875,1282.56591796875,1282.56591796875,0,0.0,0.0,0.0
2001-03-21,1250.2172447200926,1273.5801927527154,1236.4390958803408,1247.821044921875,143000,0.0,0.0,-0.027090126565893602
2001-03-22,1246.623013511144,1252.0144633533355,1198.0999649314215,1201.09521484375,162000,0.0,0.0,-0.03744593847673927
2001-03-23,1185.5199152996415,1216.6705143878585,1185.5199152996415,1201.09521484375,100000,0.0,0.0,0.0
2001-03-26,1252.014312526054,1257.40576171875,1204.0903197020903,1257.40576171875,168000,0.0,0.0,0.04688266690191201
2001-03-27,1273.0256020457473,1273.0256020457473,1223.7626953125,1223.7626953125,97000,6.0,0.0,-0.02675593466365478
2001-03-28,1231.5729525720649,1231.5729525720649,1207.5422608145611,1215.9530029296875,54000,0.0,0.0,-0.00638170489485157
2001-03-29,1198.5309431713108,1227.3677778942294,1188.9186649303379,1197.93017578125,41000,0.0,0.0,-0.014821976758158995
2001-03-30,1217.1542129889494,1249.5956382117547,1217.1542129889494,1229.1695556640625,60000,0.0,0.0,0.026077796948757337
2001-04-02,1237.5807459557068,1260.4099053471227,1223.763096850376,1258.0068359375,147000,0.0,0.0,0.023460783047020817
2001-04-03,1261.010346102343,1310.8740234375,1261.010346102343,1310.8740234375,113000,0.0,0.0,0.04202456297513035
2001-04-04,1296.4559360080295,1320.4866299099392,1286.8436584472656,1297.657470703125,195000,0.0,0.0,-0.01008224474516417
2001-04-05,1312.075887044271,1312.075887044271,1297.657470703125,1297.657470703125,26000,0.0,0.0,0.0
2001-04-06,1309.0717905358695,1309.0717905358695,1273.0257568359375,1273.0257568359375,68000,0.0,0.0,-0.0189816761536008
2001-04-09,1263.4133623332002,1272.4248699104699,1223.762728993214,1234.5765380859375,61000,0.0,0.0,-0.030203017137347077
2001-04-10,1237.5803112240892,1237.5803112240892,1195.526611328125,1195.526611328125,135000,0.0,0.0,-0.031630219393570136
2001-04-11,1224.9642012553,1224.9642012553,1195.526611328125,1195.526611328125,77000,0.0,0.0,0.0
2001-04-12,1234.576605371682,1234.576605371682,1193.1236682570125,1196.728271484375,48000,0.0,0.0,0.001005130412709887
2001-04-13,1184.712828917721,1184.712828917721,1140.2560594755753,1145.6629638671875,225000,0.0,0.0,-0.042670762305839105
2001-04-16,1136.6517472759047,1141.4578857421875,1123.4348664936267,1141.4578857421875,152000,0.0,0.0,-0.0036704321057964284
2001-04-17,1141.4576925835033,1178.1044921875,1141.4576925835033,1178.1044921875,151000,0.0,0.0,0.03210508850397442
2001-04-18,1131.84552667374,1291.6496190809667,1116.2255777918308,1278.4327392578125,2040000,0.0,0.0,0.0851607372144243
2001-04-19,1291.6495233142537,1327.0947893028772,1232.1735685197832,1247.1927490234375,559000,0.0,0.0,-0.024436162556749963
2001-04-20,1212.9493130036797,1219.5577540353986,1156.4771805508092,1181.108642578125,285000,0.0,0.0,-0.05298628178928788
2001-04-23,1162.4844379267417,1172.6974795002582,1143.2598890824752,1163.085205078125,179000,0.0,0.0,-0.015259762608000549
2001-04-24,1158.8800852982038,1165.488525390625,1146.2639723944908,1165.488525390625,65000,0.0,0.0,0.0020663321156584313
2001-04-25,1167.8915012102184,1180.507613106008,1162.484596112023,1175.1007080078125,74000,0.0,0.0,0.008247342129744206
2001-04-26,1167.8915012102184,1180.507613106008,1162.484596112023,1175.1007080078125,74000,0.0,0.0,0.0
2001-04-27,1189.51904296875,1190.720577355587,1184.7129054214015,1189.51904296875,67000,0.0,0.0,0.012269871733275872
2001-04-30,1189.51904296875,1189.51904296875,1189.51904296875,1189.51904296875,0,0.0,0.0,0.0
2001-05-01,1226.7666125904764,1254.4019035694978,1224.964311004888,1250.196533203125,157000,0.0,0.0,0.051010104119845634
2001-05-02,1260.4094709568953,1298.8585682596795,1249.5956623404873,1294.6531982421875,243000,0.0,0.0,0.03555974109539428
2001-05-03,1294.6531982421875,1294.6531982421875,1294.6531982421875,1294.6531982421875,0,0.0,0.0,0.0
