Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return
2000-07-12,24080.544921875,24080.544921875,24080.544921875,24080.544921875,600,0.0,0.0,
2000-07-13,26960.337890625,26960.337890625,26960.337890625,26960.337890625,277200,0.0,0.0,0.1195900249804549
2000-07-14,30169.25,30169.25,28660.78541086522,30169.25,499200,0.0,0.0,0.11902343814803773
2000-07-17,30169.25,30169.25,30169.25,30169.25,0,0.0,0.0,0.0
2000-07-18,33734.703125,33734.703125,33734.703125,33734.703125,29700,0.0,0.0,0.1181816957663846
2000-07-19,33734.703125,33734.703125,33734.703125,33734.703125,29700,0.0,0.0,0.0
2000-07-20,42236.95625809584,42236.95625809584,33186.1796875,33186.1796875,1557300,0.0,0.0,-0.016259915952647086
2000-07-21,33186.17869239654,34283.24462894217,29209.323511067367,30717.78515625,819600,0.0,0.0,-0.07438019544562857
2000-07-24,29894.97847851132,32637.63929551271,27152.320875563066,27399.16015625,574800,0.0,0.0,-0.10803594670381944
2000-07-25,27152.321936227512,30580.646484375004,26905.48264589817,30580.646484375,278700,0.0,0.0,0.11611619881711133
2000-07-26,31951.978047038978,33460.44272322767,27975.12334829014,28523.65625,1218900,0.0,0.0,-0.06726444568220646
2000-07-27,28523.652719956695,29483.58116158257,26466.657003655604,26603.791015625,544200,0.0,0.0,-0.06730782398820279
2000-07-28,26027.83553498144,27152.325236367516,24546.79961299776,24821.064453125,883500,0.0,0.0,-0.06701024532379485
2000-07-31,24080.540611566284,26439.227945631123,23449.729704888046,25561.576171875,794100,0.0,0.0,0.029834003297822598
2000-08-01,26302.100730020702,28523.65625,25780.996562531232,28523.65625,421800,0.0,0.0,0.11588018118319843
2000-08-02,30032.111993026094,31814.841173552184,27837.984018074985,28249.3828125,1256400,0.0,0.0,-0.009615647976405572
2000-08-03,28249.388526653453,30443.516945422536,28249.388526653453,29209.3203125,727800,0.0,0.0,0.03398083088651549
2000-08-04,29757.850470095018,29894.98127393072,27262.028700401308,27975.12109375,496500,0.0,0.0,-0.04225360965423863
2000-08-07,27289.464357968693,29483.58991670242,27289.464357968693,27837.994140625,439200,0.0,0.0,-0.004901746543489849
2000-08-08,28249.382118853275,31129.173609116817,27837.983334529912,29072.1796875,1522200,0.0,0.0,0.044334571687904445
2000-08-09,29072.184001622267,29620.71686680311,27837.98746550547,28660.78515625,393300,0.0,0.0,-0.014150797624124634
2000-08-10,28660.79202866371,29483.58991670242,27344.315407801772,27837.994140625,411900,0.0,0.0,-0.028707902143622066
2000-08-11,27289.455533129414,27426.586327421137,25095.327469876567,26247.244140625,609600,0.0,0.0,-0.05714312575698699
2000-08-14,26603.787777950518,27124.89342455716,25643.85623909478,25780.990234375,298200,0.0,0.0,-0.017763918518528987
2000-08-15,25780.990234375,25780.990234375,25780.990234375,25780.990234375,0,0.0,0.0,0.0
2000-08-16,25506.729950377303,26740.92656087943,24985.624179156348,26137.541015625,623700,0.0,0.0,0.013829987832453261
