Year,Avg_Return,Num_Tickers,Stock_Index,Obesity_Prevalence,CPI_U,SP500_Total_Return,Inflation_Rate,Real_Return,Excess_Return_vs_Market,obesity_pct,obesity_yoy_pp,Cum_Nominal,Cum_Real,Cum_SP500
1980,0.1481442554173238,2,366.7109310704169,0.1237718459580162,82.4,0.325,,,-0.17685574458267622,12.37718459580162,,114.81442554173238,100.0,132.5
1981,0.2154821174736587,4,445.7305789982072,0.1296476990104882,90.9,-0.0492,0.10315533980582514,0.10182317359548398,0.2646821174736587,12.96476990104882,0.5875853052472007,139.5548810739866,110.18231735954839,125.981
1982,0.2790826416243224,4,570.1262464377655,0.1357493444868206,96.5,0.2155,0.06160616061606161,0.204856084182911,0.0635826416243224,13.574934448682061,0.6101645476332411,178.50222593568293,132.75383544002426,153.12990549999998
1983,0.7577478387974129,4,1002.1381775176636,0.1420614806530808,99.6,0.2256,0.032124352331606154,0.7030388197183772,0.5321478387974129,14.20614806530808,0.6312136166260185,313.76190185897417,226.0849352208666,187.6760121808
1984,-0.2033844604481418,4,798.3188449887494,0.1485683755136597,103.9,0.0627,0.0431726907630523,-0.23635314976549504,-0.2660844604481418,14.85683755136597,0.6506894860578907,249.94760674020387,172.64904866688687,199.44329814453613
1985,-0.0833162315144316,5,731.8059272773331,0.1552267924651289,107.6,0.3173,0.03561116458132818,-0.11483788526347061,-0.4006162315144316,15.52267924651289,0.6658416951469199,229.12291407055895,152.82239702523157,262.72665664579745
1986,-0.029833819295398,6,709.97336148364,0.1620345709559567,109.6,0.1867,0.018587360594795488,-0.04753758171701472,-0.216533819295398,16.20345709559567,0.68077784908278,222.2873024557429,145.55758983845456,311.77772344156784
1987,0.333054180614959,6,946.4329576510218,0.1689982436193847,113.6,0.0525,0.03649635036496357,0.2861156531285167,0.280554180614959,16.89982436193847,0.6963672663428007,296.3210178362499,187.2038947228967,328.1460539222502
1988,0.1530134290513939,6,1091.2499098684573,0.1761641841850341,118.3,0.1661,0.041373239436619746,0.10720478055991833,-0.013086570948606102,17.61641841850341,0.71659405656494,341.6621128753737,207.2730471766269,382.6511134787359
1989,0.2312187958282193,6,1343.567399975895,0.1835550407005552,124.0,0.3169,0.048182586644125225,0.17462244795547033,-0.08568120417178071,18.35550407005552,0.7390856515521094,420.6608151945427,243.46757406979918,503.91325134014727
1990,-0.2908064036664269,6,952.8493963054532,0.1911963840986814,130.7,-0.031,0.05403225806451606,-0.32716139291994584,-0.25980640366642693,19.119638409868138,0.7641343398126175,298.32995636443036,163.81438340628358,488.2919405486027
1991,0.8321532403412096,6,1745.7661089982012,0.1991049139168784,136.2,0.3047,0.0420811017597551,0.7581676102246409,0.5274532403412096,19.91049139168784,0.7908529818197039,546.5861962439427,288.01314299384865,637.074494833762
1992,1.4378307383207054,7,4255.88228243435,0.2072578819029286,140.3,0.0762,0.03010279001468441,1.3665897830312193,1.3616307383207054,20.72578819029286,0.8152967986050186,1332.4846303452769,681.6089615879517,685.6195713400946
1993,0.2174373174045634,11,5181.269909116485,0.2156706084290907,144.5,0.1008,0.029935851746258013,0.18205159606823695,0.1166373174045634,21.56706084290907,0.8412726526162082,1622.2165138503651,805.6969609394521,754.7300241311762
1994,-0.2256914325225529,14,4011.901681041988,0.2243494002816607,148.2,0.0132,0.02560553633217988,-0.2450230229386564,-0.23889143252255288,22.43494002816607,0.8678791852570029,1256.0961449777344,608.282655997579,764.6924604497077
